Southern California,1907,2025,southern-california
Southern Illinois,1968,2025,southern-illinois
Southern Illinois-Edwardsville,2011,2025,southern-illinois-edwardsville
Southern Indiana,2023,2025,southern-indiana
Southern Methodist,1917,2025,southern-methodist
Southern Mississippi,1973,2025,southern-mississippi
Southern Utah,1989,2025,southern-utah
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Southwestern (KS) Moundbuilders,1905,1923,southwestern-ks
Southwestern (TX) Pirates,1915,1916,southwestern-tx
Springfield Pride,1897,1935,springfield
St. Bonaventure,1920,2025,st-bonaventure
St. Francis (NY) Terriers,1902,2023,st-francis-ny
St. John's (NY),1908,2025,st-johns-ny
St. John's College (OH),1921,1921,st-johns-college-oh
St. Lawrence Saints,1902,1914,st-lawrence
St. Thomas,2022,2025,st-thomas-mn
Stanford,1914,2025,stanford
Stephen F. Austin,1987,2025,stephen-f-austin
Stetson,1972,2025,stetson
Stevens Institute Ducks,1917,1920,stevens-institute
Stonehill,2023,2025,stonehill
Stony Brook,2000,2025,stony-brook
SUNY-Potsdam Bears,1910,1913,suny-potsdam
Swarthmore Garnet,1906,1919,swarthmore
Syracuse,1901,2025,syracuse
Tarleton State,2021,2025,tarleton-state
TCU,1914,2025,texas-christian
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Temple,1895,2025,temple
Tennessee,1909,2025,tennessee
Tennessee State,1978,2025,tennessee-state
Tennessee Tech,1944,2025,tennessee-tech
Tennessee-Martin,1993,2025,tennessee-martin
Texas,1906,2025,texas
Texas A&M,1913,2025,texas-am
Texas A&M-Corpus Christi,2003,2025,texas-am-corpus-christi
Texas Southern,1978,2025,texas-southern
Texas State,1985,2025,texas-state
Texas Tech,1926,2025,texas-tech
Texas Wesleyan Rams,1948,1948,texas-wesleyan
Texas-Rio Grande Valley,1969,2025,texas-pan-american
The Citadel,1913,2025,citadel
Toledo,1916,2025,toledo
Towson,1980,2025,towson
Trinity (CT) Bantams,1897,1911,trinity-ct
Trinity (TX) Tigers,1971,1973,trinity-tx
Troy,1994,2025,troy
Tulane,1906,2025,tulane
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Tulsa,1914,2025,tulsa
U.S. International Gulls,1982,1991,alliant-international
UAB,1980,2025,alabama-birmingham
UC Davis,2008,2025,california-davis
UC Irvine,1978,2025,california-irvine
UC Riverside,2002,2025,california-riverside
UC San Diego,2021,2025,california-san-diego
UC Santa Barbara,1964,2025,california-santa-barbara
UCF,1985,2025,central-florida
UCLA,1920,2025,ucla
UNC Asheville,1987,2025,north-carolina-asheville
UNC Greensboro,1992,2025,north-carolina-greensboro
UNC Wilmington,1977,2025,north-carolina-wilmington
Union (NY) Dutchmen,1907,1925,union-ny
UT Arlington,1969,2025,texas-arlington
Utah,1909,2025,utah
Utah State,1904,2025,utah-state
Utah Tech,2021,2025,dixie-state
Utah Valley,2010,2025,utah-valley
UTEP,1923,2025,texas-el-paso
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Utica Pioneers,1982,1987,utica
UTSA,1982,2025,texas-san-antonio
Valparaiso,1918,2025,valparaiso
Vanderbilt,1901,2025,vanderbilt
Vermont,1921,2025,vermont
Villanova,1921,2025,villanova
Virginia,1906,2025,virginia
Virginia Commonwealth,1974,2025,virginia-commonwealth
Virginia Military Institute,1909,2025,virginia-military-institute
Virginia Tech,1909,2025,virginia-tech
Wabash Little Giants,1897,1925,wabash
Wagner,1966,2025,wagner
Wake Forest,1906,2025,wake-forest
Washburn Ichabods,1906,1941,washburn
Washington,1896,2025,washington
Washington & Jefferson Presidents,1913,1944,washington-jefferson
Washington & Lee Generals,1907,1959,washington-lee
Washington (MO) Bears,1905,1960,washington-mo
Washington College Shoremen,1913,1925,washington-college
Washington State,1902,2025,washington-state
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
School,From,To,None
Wayne State (MI) Warriors,1928,1950,wayne-state-mi
Weber State,1964,2025,weber-state
Wesleyan (CT) Cardinals,1896,1913,wesleyan-ct
West Chester Golden Rams,1899,1982,west-chester
West Georgia,2025,2025,west-georgia
West Texas A&M Buffaloes,1921,1986,west-texas-am
West Virginia,1904,2025,west-virginia
Western Carolina,1977,2025,western-carolina
Western Colorado Mountaineers,1924,1937,western-state
